currency,rate,base_currency,date
LKR,309.6293,USD,2026-01-11
LRD,179.1411,USD,2026-01-11
LSL,16.5035,USD,2026-01-11
LYD,5.4155,USD,2026-01-11
MAD,9.2279,USD,2026-01-11
MDL,16.8613,USD,2026-01-11
MGA,4597.6518,USD,2026-01-11
MKD,52.8151,USD,2026-01-11
MMK,2103.0299,USD,2026-01-11
MNT,3559.191,USD,2026-01-11
MOP,8.0282,USD,2026-01-11
MRU,39.9671,USD,2026-01-11
MUR,46.5949,USD,2026-01-11
MVR,15.4402,USD,2026-01-11
MWK,1744.7906,USD,2026-01-11
MXN,17.9854,USD,2026-01-11
MYR,4.0688,USD,2026-01-11
MZN,63.5865,USD,2026-01-11
NAD,16.5035,USD,2026-01-11
NGN,1423.0629,USD,2026-01-11
NIO,36.8037,USD,2026-01-11
NOK,10.0997,USD,2026-01-11
NPR,144.2529,USD,2026-01-11
NZD,1.745,USD,2026-01-11
OMR,0.3845,USD,2026-01-11
PAB,1.0,USD,2026-01-11
PEN,3.3618,USD,2026-01-11
PGK,4.2648,USD,2026-01-11
PHP,59.2666,USD,2026-01-11
PKR,282.0058,USD,2026-01-11
PLN,3.6169,USD,2026-01-11
PYG,6712.3671,USD,2026-01-11
QAR,3.64,USD,2026-01-11
RON,4.3685,USD,2026-01-11
RSD,100.6016,USD,2026-01-11
RUB,79.3354,USD,2026-01-11
RWF,1459.4377,USD,2026-01-11
SAR,3.75,USD,2026-01-11
SBD,8.0221,USD,2026-01-11
SCR,14.28,USD,2026-01-11
SDG,509.0725,USD,2026-01-11
SEK,9.2155,USD,2026-01-11
SGD,1.2866,USD,2026-01-11
SHP,0.7455,USD,2026-01-11
SLE,23.8366,USD,2026-01-11
SLL,23836.6113,USD,2026-01-11
SOS,570.1912,USD,2026-01-11
SRD,38.1825,USD,2026-01-11
SSP,4687.7882,USD,2026-01-11
STN,21.0483,USD,2026-01-11
SYP,113.9702,USD,2026-01-11
SZL,16.5035,USD,2026-01-11
THB,31.4285,USD,2026-01-11
TJS,9.2336,USD,2026-01-11
TMT,3.4999,USD,2026-01-11
TND,2.8873,USD,2026-01-11
TOP,2.3913,USD,2026-01-11
TRY,43.1188,USD,2026-01-11
TTD,6.7682,USD,2026-01-11
TVD,1.4955,USD,2026-01-11
TWD,31.6302,USD,2026-01-11
TZS,2456.7214,USD,2026-01-11
UAH,43.0631,USD,2026-01-11
UGX,3572.5543,USD,2026-01-11
UYU,38.9607,USD,2026-01-11
UZS,12124.341,USD,2026-01-11
VES,330.3751,USD,2026-01-11
VND,26184.6772,USD,2026-01-11
VUV,120.2799,USD,2026-01-11
WST,2.7445,USD,2026-01-11
XAF,563.542,USD,2026-01-11
XCD,2.7,USD,2026-01-11
XCG,1.79,USD,2026-01-11
XDR,0.731,USD,2026-01-11
XOF,563.542,USD,2026-01-11
XPF,102.5198,USD,2026-01-11
YER,238.4069,USD,2026-01-11
ZAR,16.5035,USD,2026-01-11
ZMW,19.7114,USD,2026-01-11
ZWG,25.7183,USD,2026-01-11
ZWL,25.7183,USD,2026-01-11
USD,1.0,USD,2026-01-12
AED,3.6725,USD,2026-01-12
AFN,66.0839,USD,2026-01-12
ALL,82.6851,USD,2026-01-12
AMD,381.3546,USD,2026-01-12
ANG,1.79,USD,2026-01-12
AOA,919.4276,USD,2026-01-12
ARS,1452.25,USD,2026-01-12
AUD,1.4955,USD,2026-01-12
AWG,1.79,USD,2026-01-12
AZN,1.7001,USD,2026-01-12
BAM,1.6803,USD,2026-01-12
BBD,2.0,USD,2026-01-12
BDT,122.1856,USD,2026-01-12
BGN,1.6637,USD,2026-01-12
BHD,0.376,USD,2026-01-12
BIF,2968.0881,USD,2026-01-12
BMD,1.0,USD,2026-01-12
BND,1.2866,USD,2026-01-12
BOB,6.9299,USD,2026-01-12
BRL,5.3822,USD,2026-01-12
BSD,1.0,USD,2026-01-12
BTN,90.1581,USD,2026-01-12
BWP,13.7834,USD,2026-01-12
BYN,2.9516,USD,2026-01-12
BZD,2.0,USD,2026-01-12
CAD,1.3891,USD,2026-01-12
CDF,2245.5768,USD,2026-01-12
CHF,0.8009,USD,2026-01-12
CLF,0.02269,USD,2026-01-12
CLP,896.9256,USD,2026-01-12
CNH,6.9764,USD,2026-01-12
CNY,6.9967,USD,2026-01-12
COP,3732.9619,USD,2026-01-12
CRC,497.1837,USD,2026-01-12
CUP,24.0,USD,2026-01-12
CVE,94.7302,USD,2026-01-12
CZK,20.8676,USD,2026-01-12
DJF,177.721,USD,2026-01-12
DKK,6.4101,USD,2026-01-12
DOP,63.4651,USD,2026-01-12
DZD,129.9411,USD,2026-01-12
EGP,47.2833,USD,2026-01-12
ERN,15.0,USD,2026-01-12
ETB,154.1122,USD,2026-01-12
EUR,0.8591,USD,2026-01-12
FJD,2.2767,USD,2026-01-12
FKP,0.7455,USD,2026-01-12
FOK,6.4101,USD,2026-01-12
GBP,0.7455,USD,2026-01-12
GEL,2.6956,USD,2026-01-12
GGP,0.7455,USD,2026-01-12
GHS,10.7302,USD,2026-01-12
GIP,0.7455,USD,2026-01-12
GMD,73.8735,USD,2026-01-12
GNF,8747.559,USD,2026-01-12
GTQ,7.6652,USD,2026-01-12
GYD,209.1516,USD,2026-01-12
HKD,7.7943,USD,2026-01-12
HNL,26.3702,USD,2026-01-12
HRK,6.473,USD,2026-01-12
HTG,130.9679,USD,2026-01-12
HUF,331.1277,USD,2026-01-12
IDR,16817.1785,USD,2026-01-12
ILS,3.1602,USD,2026-01-12
IMP,0.7455,USD,2026-01-12
INR,90.1802,USD,2026-01-12
IQD,1310.6298,USD,2026-01-12
IRR,42085.058,USD,2026-01-12
ISK,126.5743,USD,2026-01-12
JEP,0.7455,USD,2026-01-12
JMD,158.1326,USD,2026-01-12
JOD,0.709,USD,2026-01-12
JPY,157.7408,USD,2026-01-12
KES,128.9732,USD,2026-01-12
KGS,87.3915,USD,2026-01-12
KHR,4018.7021,USD,2026-01-12
KID,1.4955,USD,2026-01-12
KMF,422.6565,USD,2026-01-12
KRW,1457.3794,USD,2026-01-12
KWD,0.3072,USD,2026-01-12
KYD,0.8333,USD,2026-01-12
KZT,510.5096,USD,2026-01-12
LAK,21687.2395,USD,2026-01-12
LBP,89500.0,USD,2026-01-12
LKR,309.6293,USD,2026-01-12
LRD,179.1411,USD,2026-01-12
LSL,16.5035,USD,2026-01-12
LYD,5.4155,USD,2026-01-12
MAD,9.2279,USD,2026-01-12
MDL,16.8613,USD,2026-01-12
MGA,4597.6518,USD,2026-01-12
MKD,52.8151,USD,2026-01-12
MMK,2103.0299,USD,2026-01-12
MNT,3559.191,USD,2026-01-12
MOP,8.0282,USD,2026-01-12
MRU,39.9671,USD,2026-01-12
MUR,46.5949,USD,2026-01-12
MVR,15.4402,USD,2026-01-12
MWK,1744.7906,USD,2026-01-12
MXN,17.9854,USD,2026-01-12
MYR,4.0688,USD,2026-01-12
MZN,63.5865,USD,2026-01-12
NAD,16.5035,USD,2026-01-12
NGN,1423.0629,USD,2026-01-12
NIO,36.8037,USD,2026-01-12
NOK,10.0997,USD,2026-01-12
NPR,144.2529,USD,2026-01-12
NZD,1.745,USD,2026-01-12
OMR,0.3845,USD,2026-01-12
PAB,1.0,USD,2026-01-12
PEN,3.3618,USD,2026-01-12
PGK,4.2648,USD,2026-01-12
PHP,59.2666,USD,2026-01-12
PKR,282.0058,USD,2026-01-12
PLN,3.6169,USD,2026-01-12
PYG,6712.3671,USD,2026-01-12
QAR,3.64,USD,2026-01-12
RON,4.3685,USD,2026-01-12
RSD,100.6016,USD,2026-01-12
RUB,79.3354,USD,2026-01-12
RWF,1459.4377,USD,2026-01-12
SAR,3.75,USD,2026-01-12
SBD,8.0221,USD,2026-01-12
SCR,14.28,USD,2026-01-12
SDG,509.0725,USD,2026-01-12
SEK,9.2155,USD,2026-01-12
SGD,1.2866,USD,2026-01-12
SHP,0.7455,USD,2026-01-12
SLE,23.8366,USD,2026-01-12
SLL,23836.6113,USD,2026-01-12
SOS,570.1912,USD,2026-01-12
SRD,38.1825,USD,2026-01-12
SSP,4687.7882,USD,2026-01-12
STN,21.0483,USD,2026-01-12
SYP,113.9702,USD,2026-01-12
SZL,16.5035,USD,2026-01-12
THB,31.4285,USD,2026-01-12
TJS,9.2336,USD,2026-01-12
TMT,3.4999,USD,2026-01-12
TND,2.8873,USD,2026-01-12
TOP,2.3913,USD,2026-01-12
TRY,43.1188,USD,2026-01-12
TTD,6.7682,USD,2026-01-12
TVD,1.4955,USD,2026-01-12
TWD,31.6302,USD,2026-01-12
TZS,2456.7214,USD,2026-01-12
UAH,43.0631,USD,2026-01-12
UGX,3572.5543,USD,2026-01-12
UYU,38.9607,USD,2026-01-12
UZS,12124.341,USD,2026-01-12
VES,330.3751,USD,2026-01-12
VND,26184.6772,USD,2026-01-12
VUV,120.2799,USD,2026-01-12
WST,2.7445,USD,2026-01-12
XAF,563.542,USD,2026-01-12
XCD,2.7,USD,2026-01-12
XCG,1.79,USD,2026-01-12
XDR,0.731,USD,2026-01-12
XOF,563.542,USD,2026-01-12
XPF,102.5198,USD,2026-01-12
YER,238.4069,USD,2026-01-12
ZAR,16.5035,USD,2026-01-12
ZMW,19.7114,USD,2026-01-12
ZWG,25.7183,USD,2026-01-12
ZWL,25.7183,USD,2026-01-12
USD,1.0,USD,2026-02-04
AED,3.6725,USD,2026-02-04
AFN,65.7705,USD,2026-02-04
ALL,81.8516,USD,2026-02-04
AMD,378.6385,USD,2026-02-04
ANG,1.79,USD,2026-02-04
AOA,923.0647,USD,2026-02-04
ARS,1452.25,USD,2026-02-04
AUD,1.4263,USD,2026-02-04
AWG,1.79,USD,2026-02-04
AZN,1.6996,USD,2026-02-04
BAM,1.6562,USD,2026-02-04
BBD,2.0,USD,2026-02-04
BDT,122.3076,USD,2026-02-04
BGN,1.6044,USD,2026-02-04
BHD,0.376,USD,2026-02-04
BIF,2970.3155,USD,2026-02-04
BMD,1.0,USD,2026-02-04
BND,1.2703,USD,2026-02-04
BOB,6.9468,USD,2026-02-04
BRL,5.2345,USD,2026-02-04
BSD,1.0,USD,2026-02-04
BTN,90.3586,USD,2026-02-04
BWP,13.4877,USD,2026-02-04
BYN,2.8617,USD,2026-02-04
BZD,2.0,USD,2026-02-04
CAD,1.3651,USD,2026-02-04
CDF,2199.268,USD,2026-02-04
CHF,0.7764,USD,2026-02-04
CLF,0.02188,USD,2026-02-04
CLP,864.802,USD,2026-02-04
CNH,6.9358,USD,2026-02-04
CNY,6.9456,USD,2026-02-04
COP,3626.338,USD,2026-02-04
CRC,496.8925,USD,2026-02-04
CUP,24.0,USD,2026-02-04
CVE,93.3745,USD,2026-02-04
CZK,20.5978,USD,2026-02-04
DJF,177.721,USD,2026-02-04
DKK,6.3206,USD,2026-02-04
DOP,63.2781,USD,2026-02-04
DZD,129.8768,USD,2026-02-04
EGP,47.0058,USD,2026-02-04
ERN,15.0,USD,2026-02-04
ETB,154.3615,USD,2026-02-04
EUR,0.8468,USD,2026-02-04
FJD,2.2009,USD,2026-02-04
FKP,0.7305,USD,2026-02-04
FOK,6.3209,USD,2026-02-04
GBP,0.7305,USD,2026-02-04
GEL,2.6898,USD,2026-02-04
GGP,0.7305,USD,2026-02-04
GHS,11.0012,USD,2026-02-04
GIP,0.7305,USD,2026-02-04
GMD,74.1107,USD,2026-02-04
GNF,8754.526,USD,2026-02-04
GTQ,7.673,USD,2026-02-04
GYD,209.2151,USD,2026-02-04
HKD,7.8133,USD,2026-02-04
HNL,26.4382,USD,2026-02-04
HRK,6.3804,USD,2026-02-04
HTG,131.0192,USD,2026-02-04
HUF,322.3097,USD,2026-02-04
IDR,16780.9204,USD,2026-02-04
ILS,3.0926,USD,2026-02-04
IMP,0.7305,USD,2026-02-04
INR,90.352,USD,2026-02-04
IQD,1310.9449,USD,2026-02-04
IRR,1129056.4112,USD,2026-02-04
ISK,122.8591,USD,2026-02-04
JEP,0.7305,USD,2026-02-04
JMD,156.9138,USD,2026-02-04
JOD,0.709,USD,2026-02-04
JPY,155.7883,USD,2026-02-04
KES,128.9537,USD,2026-02-04
KGS,87.4387,USD,2026-02-04
KHR,4019.1676,USD,2026-02-04
KID,1.4262,USD,2026-02-04
KMF,416.6076,USD,2026-02-04
KRW,1449.3582,USD,2026-02-04
KWD,0.307,USD,2026-02-04
KYD,0.8333,USD,2026-02-04
KZT,502.4827,USD,2026-02-04
LAK,21672.3248,USD,2026-02-04
LBP,89500.0,USD,2026-02-04
LKR,309.3294,USD,2026-02-04
LRD,186.0974,USD,2026-02-04
LSL,15.9641,USD,2026-02-04
LYD,6.3156,USD,2026-02-04
MAD,9.1535,USD,2026-02-04
MDL,16.9275,USD,2026-02-04
MGA,4429.255,USD,2026-02-04
MKD,52.0999,USD,2026-02-04
MMK,2101.4434,USD,2026-02-04
MNT,3541.0549,USD,2026-02-04
MOP,8.0477,USD,2026-02-04
MRU,39.9391,USD,2026-02-04
MUR,45.8618,USD,2026-02-04
MVR,15.4441,USD,2026-02-04
MWK,1744.2702,USD,2026-02-04
MXN,17.2641,USD,2026-02-04
MYR,3.9333,USD,2026-02-04
MZN,63.5673,USD,2026-02-04
NAD,15.9641,USD,2026-02-04
NGN,1388.5769,USD,2026-02-04
NIO,36.8388,USD,2026-02-04
NOK,9.6555,USD,2026-02-04
NPR,144.5737,USD,2026-02-04
NZD,1.6556,USD,2026-02-04
OMR,0.3845,USD,2026-02-04
PAB,1.0,USD,2026-02-04
PEN,3.3647,USD,2026-02-04
PGK,4.2908,USD,2026-02-04
PHP,59.0755,USD,2026-02-04
PKR,280.2982,USD,2026-02-04
PLN,3.5748,USD,2026-02-04
PYG,6657.6613,USD,2026-02-04
QAR,3.64,USD,2026-02-04
RON,4.319,USD,2026-02-04
RSD,99.4434,USD,2026-02-04
RUB,76.9343,USD,2026-02-04
RWF,1459.9876,USD,2026-02-04
SAR,3.75,USD,2026-02-04
SBD,7.9427,USD,2026-02-04
SCR,14.4819,USD,2026-02-04
SDG,449.6478,USD,2026-02-04
SEK,8.9253,USD,2026-02-04
SGD,1.2703,USD,2026-02-04
SHP,0.7305,USD,2026-02-04
SLE,24.3209,USD,2026-02-04
SLL,24320.9465,USD,2026-02-04
SOS,570.9345,USD,2026-02-04
SRD,38.0257,USD,2026-02-04
SSP,4720.5727,USD,2026-02-04
STN,20.7471,USD,2026-02-04
SYP,112.315,USD,2026-02-04
SZL,15.9641,USD,2026-02-04
THB,31.5765,USD,2026-02-04
TJS,9.3272,USD,2026-02-04
TMT,3.5,USD,2026-02-04
TND,2.8593,USD,2026-02-04
TOP,2.3642,USD,2026-02-04
TRY,43.4989,USD,2026-02-04
TTD,6.7392,USD,2026-02-04
TVD,1.4262,USD,2026-02-04
TWD,31.6004,USD,2026-02-04
TZS,2552.4557,USD,2026-02-04
UAH,43.2159,USD,2026-02-04
UGX,3536.669,USD,2026-02-04
UYU,38.784,USD,2026-02-04
UZS,12237.3961,USD,2026-02-04
VES,375.0825,USD,2026-02-04
VND,25937.7451,USD,2026-02-04
VUV,119.5202,USD,2026-02-04
WST,2.6915,USD,2026-02-04
XAF,555.4768,USD,2026-02-04
XCD,2.7,USD,2026-02-04
XCG,1.79,USD,2026-02-04
XDR,0.7277,USD,2026-02-04
XOF,555.4768,USD,2026-02-04
XPF,101.0526,USD,2026-02-04
YER,238.2901,USD,2026-02-04
ZAR,15.9671,USD,2026-02-04
ZMW,19.6962,USD,2026-02-04
ZWG,25.6451,USD,2026-02-04
ZWL,25.6451,USD,2026-02-04
